StudentID,Age,Program,YearOfStudy,AttendanceRate,LMS_LoginFrequency,AssignmentSubmissionRate,AvgScore,ForumParticipation,GeneratedFeedback,EngagementLevel
S037,20,Business Administration,1,88,24,92,84,10,"Strong start to the program with excellent attendance and submission habits. Active forum use reflects genuine course interest.",High
S038,22,Data Science,3,61,12,65,62,3,"Engagement remains in a moderate band with attendance slightly ahead of digital participation. Continued monitoring is advised.",Medium
S039,21,Civil Engineering,2,29,3,33,42,0,"Engagement indicators are uniformly low, raising significant concern about course persistence. Immediate advising contact is recommended.",Low
S040,19,Psychology,1,92,27,95,87,13,"Highly engaged and consistent across all tracked metrics. The student's forum contributions show clear depth of understanding.",High
S041,23,Computer Science,2,64,13,68,63,4,"Engagement is moderate with reasonably consistent attendance and submissions. Forum participation could be more frequent.",Medium
S042,25,Mechanical Engineering,4,34,4,37,45,1,"Engagement has declined noticeably this term, especially in attendance. Recommend reaching out to discuss any external challenges.",Low
S043,20,Business Administration,3,85,22,87,80,9,"Reliable engagement with strong assignment completion and decent forum activity. A consistently solid academic performer.",High
S044,21,Data Science,1,59,11,63,58,2,"Engagement is inconsistent week to week with occasional missed submissions. A structured study schedule may help improve consistency.",Medium
S045,22,Civil Engineering,3,27,3,30,40,0,"Engagement is critically low across nearly every metric tracked. This student should be flagged for urgent academic support.",Low
S046,18,Psychology,1,93,29,96,88,12,"Excellent engagement from the outset, with strong attendance and active discussion participation. A model of consistent effort.",High
S047,24,Computer Science,4,67,15,71,65,5,"Moderate and fairly stable engagement throughout the term. Increasing LMS login frequency could further support learning outcomes.",Medium
S048,23,Mechanical Engineering,2,39,5,43,49,1,"Attendance and submission rates are persistently low for this point in the program. Recommend a personalized re-engagement plan.",Low
S049,19,Business Administration,2,91,26,94,86,11,"Consistently strong engagement with good balance across attendance and digital participation. Performance reflects this dedication.",High
S050,21,Data Science,4,56,10,60,57,3,"Engagement sits at a moderate level with some recent decline in logins. A brief check-in could help identify any emerging issues.",Medium
S051,22,Civil Engineering,1,32,4,36,44,0,"Engagement remains low across attendance, logins, and submissions for a first-year student. Early support could prevent further decline.",Low
S052,20,Psychology,3,89,25,92,84,10,"Strong, well-rounded engagement with consistent participation across all measured categories. A dependable and motivated student.",High
S053,21,Computer Science,1,62,12,66,61,3,"Engagement is moderate, with attendance holding steadier than forum or login activity. Continued observation is recommended.",Medium
S054,23,Business Administration,3,37,5,41,46,1,"Engagement has weakened over recent weeks, particularly in assignment submissions. Outreach to discuss support options is advised.",Low
S055,20,Mechanical Engineering,2,87,23,90,82,9,"Good overall engagement with reliable attendance and assignment completion. Forum activity, while moderate, shows genuine participation.",High
